Ok  GdipCloneRegion ( 0x08610238, 0x0019f20c )  7:57:00.049 PM
Ok  GdipCombineRegionRectI ( 0x08602ed0, 0x0019f1c4, CombineModeIntersect ) 7:57:00.049 PM
Ok  GdipGetRegionScansCount ( 0x08602ed0, 0x0019f1f4, 0x085e89a8 )  7:57:00.049 PM
Ok  GdipGetRegionScans ( 0x08602ed0, 0x11c6d798, 0x0019f1f4, 0x085e89a8 )   7:57:00.049 PM
Ok  GdipGetRegionScansCount ( 0x08610238, 0x0019f30c, 0x08605198 )  7:57:00.049 PM
Ok  GdipGetRegionScans ( 0x08610238, 0x11d62e60, 0x0019f30c, 0x08605198 )   7:57:00.049 PM
Ok  GdipCombineRegionRectI ( 0x08610238, 0x0019f2c8, CombineModeExclude )   7:57:00.049 PM
Ok  GdipCombineRegionRectI ( 0x08610238, 0x0019f2c8, CombineModeExclude )   7:57:00.049 PM
Ok  GdipCombineRegionRectI ( 0x08602ed0, 0x0019f2c8, CombineModeUnion ) 7:57:00.049 PM
Ok  GdipCombineRegionRectI ( 0x08610238, 0x0019f2c8, CombineModeExclude )   7:57:00.049 PM
Ok  GdipCombineRegionRectI ( 0x08602ed0, 0x0019f2c8, CombineModeUnion ) 7:57:00.049 PM
Ok  GdipCombineRegionRectI ( 0x08610238, 0x0019f2c8, CombineModeExclude )   7:57:00.049 PM
Ok  GdipCombineRegionRectI ( 0x08602ed0, 0x0019f2c8, CombineModeUnion ) 7:57:00.049 PM
Ok  GdipCombineRegionRectI ( 0x08610238, 0x0019f2c8, CombineModeExclude )   7:57:00.049 PM
Ok  GdipCombineRegionRectI ( 0x08602ed0, 0x0019f2c8, CombineModeUnion ) 7:57:00.049 PM
Ok  GdipCombineRegionRectI ( 0x08610238, 0x0019f2c8, CombineModeExclude )   7:57:00.049 PM
Ok  GdipCombineRegionRectI ( 0x08602ed0, 0x0019f2c8, CombineModeUnion ) 7:57:00.049 PM
Ok  GdipCombineRegionRectI ( 0x08610238, 0x0019f2c8, CombineModeExclude )   7:57:00.049 PM
Ok  GdipCombineRegionRectI ( 0x08602ed0, 0x0019f2c8, CombineModeUnion ) 7:57:00.049 PM
Ok  GdipCombineRegionRectI ( 0x08610238, 0x0019f2c8, CombineModeExclude )   7:57:00.049 PM
Ok  GdipCombineRegionRectI ( 0x08602ed0, 0x0019f2c8, CombineModeUnion ) 7:57:00.049 PM
Ok  GdipCombineRegionRectI ( 0x08610238, 0x0019f2c8, CombineModeExclude )   7:57:00.049 PM
Ok  GdipCombineRegionRectI ( 0x08602ed0, 0x0019f2c8, CombineModeUnion ) 7:57:00.049 PM
Ok  GdipCombineRegionRectI ( 0x08610238, 0x0019f2c8, CombineModeExclude )   7:57:00.049 PM
Ok  GdipCombineRegionRectI ( 0x08602ed0, 0x0019f2c8, CombineModeUnion ) 7:57:00.049 PM
Ok  GdipCombineRegionRectI ( 0x08610238, 0x0019f2c8, CombineModeExclude )   7:57:00.049 PM
Ok  GdipCombineRegionRectI ( 0x08602ed0, 0x0019f2c8, CombineModeUnion ) 7:57:00.049 PM
Ok  GdipCombineRegionRectI ( 0x08610238, 0x0019f2c8, CombineModeExclude )   7:57:00.049 PM
Ok  GdipCombineRegionRectI ( 0x08602ed0, 0x0019f2c8, CombineModeUnion ) 7:57:00.049 PM
Ok  GdipCombineRegionRectI ( 0x08610238, 0x0019f2c8, CombineModeExclude )   7:57:00.049 PM
Ok  GdipCombineRegionRectI ( 0x08602ed0, 0x0019f2c8, CombineModeUnion ) 7:57:00.049 PM
